40002,2917,广东肇庆,黑石顶自然保护区,9/29/2013,10/4/2013,6634,Benz,38
40004,607,浙江杭州,浙大紫金港校区,10/5/2013,10/5/2013,6428,呢每居,17
40005,91,广东广州,流溪河森林公园,10/4/2013,10/4/2013,7161,爱乌及屋,10
40006,3702,江苏如东,小洋口,10/2/2013,10/5/2013,6440,稀释,107
40007,3702,江苏如东,小洋口,10/2/2013,10/5/2013,6316,千月星痕,104
40008,5013,福建厦门,集美大学,10/5/2013,10/5/2013,6349,集大黑子,17
40009,3702,江苏如东,小洋口,10/1/2013,10/3/2013,5650,hoshi,108
40012,2694,广东广州,麓湖公园及周边,10/5/2013,10/5/2013,7161,爱乌及屋,12
40013,4812,江苏大丰,麋鹿保护区,10/4/2013,10/4/2013,5650,hoshi,73
40014,3702,江苏如东,小洋口,10/2/2013,10/5/2013,6844,透明,95
40015,62,广东广州,中山大学,10/5/2013,10/5/2013,7183,广州哎呀,15
40016,5320,云南昆明,西南林业大学,10/3/2013,10/3/2013,4122,两南雪飘,1
40020,6568,福建厦门,会展-香山国际游,10/5/2013,10/5/2013,5532,秋风秋雨秋水,28
40021,1038,福建武夷山,保护区,9/30/2013,10/5/2013,4657,南京雄鹰,71
40022,668,广东乳源,南岭国家森林公园,10/2/2013,10/5/2013,4320,小苏,47
40024,5605,江苏无锡,金匮公园,10/4/2013,10/4/2013,2522,雪野纵横,11
40025,7042,黑龙江嫩江,高峰林场,9/30/2013,10/4/2013,3786,松果,27
40026,2778,湖北武昌,严冬湖,10/2/2013,10/4/2013,6964,天空,31
40027,2429,福建将乐,龙栖山,10/1/2013,10/5/2013,6421,绿野蓝棘,46
40029,672,广东广州,花都狮岭镇碧花园,10/6/2013,10/6/2013,5956,竹竿,5
40030,4908,台湾全岛,台湾全岛,10/1/2013,10/6/2013,7197,龙俊宇,2
40031,7043,甘肃榆中,马衔山,10/6/2013,10/6/2013,5841,绿队可乐,14
40032,6819,陕西西安,浐灞国家湿地公园,10/6/2013,10/6/2013,6938,星星火的小小强,18
40033,3702,江苏如东,小洋口,10/2/2013,10/5/2013,6938,星星火的小小强,87
40038,7044,台湾全岛,新北,9/28/2013,9/28/2013,5111,deguoren,5
40039,5535,重庆重庆,广阳岛,10/6/2013,10/6/2013,5681,重庆飞猫L,34
40040,3225,广西南宁,青秀山,10/3/2013,10/3/2013,2718,骆驼,12
40041,4304,广西北海,冠头岭,10/5/2013,10/5/2013,2718,骆驼,31
40042,4982,广西北海,北航门前水塘,10/5/2013,10/6/2013,2718,骆驼,24
40043,34,湖北武汉,武汉大学,9/26/2013,9/26/2013,4154,纸麻雀,2
40045,6499,福建厦门,筼筜湖,8/25/2013,8/25/2013,5545,小麦,26
40046,6499,福建厦门,筼筜湖,7/21/2013,7/21/2013,5545,小麦,21
40048,4170,安徽合肥,大蜀山,10/2/2013,10/2/2013,4188,夏麦,24
40049,6499,福建厦门,筼筜湖,9/28/2013,9/28/2013,5545,小麦,29
40051,2778,湖北武昌,严冬湖,10/3/2013,10/4/2013,7201,纯钧—伽蓝,30
40052,4115,广东东莞,东莞植物园,10/5/2013,10/5/2013,2184,老酒,18
40053,779,江西永修,吴城镇鄱阳湖,10/4/2013,10/6/2013,6015,钟彦葵,60
40054,2614,内蒙古牙克石,乌尔旗汗林场,9/30/2013,10/5/2013,4048,奈何,41
40056,5025,广西扶绥,西大明山保护区,8/11/2013,8/14/2013,6015,钟彦葵,41
40057,6937,上海崇明,南八效港~堡镇港,10/6/2013,10/6/2013,5513,东滩鸟哨,2
40058,427,浙江杭州,西湖,9/30/2013,9/30/2013,6937,理工树人,21
