170,翠鸟科,斑头大翠鸟
171,翠鸟科,普通翠鸟
172,翠鸟科,蓝耳翠鸟
173,翠鸟科,三趾翠鸟
174,翠鸟科,鹳嘴翡翠
175,翠鸟科,赤翡翠
176,翠鸟科,白胸翡翠
177,翠鸟科,蓝翡翠
178,翠鸟科,白领翡翠
179,鱼狗科,冠鱼狗
180,鱼狗科,斑鱼狗
181,蜂虎科,蓝须夜蜂虎
182,蜂虎科,绿喉蜂虎
183,蜂虎科,蓝喉蜂虎
184,蜂虎科,栗喉蜂虎
185,蜂虎科,黄喉蜂虎
186,蜂虎科,栗头蜂虎
187,杜鹃科,斑翅凤头鹃
188,杜鹃科,红翅凤头鹃
189,杜鹃科,鹰鹃
190,杜鹃科,普通鹰鹃
191,杜鹃科,棕腹杜鹃
192,杜鹃科,四声杜鹃
193,杜鹃科,大杜鹃
194,杜鹃科,中杜鹃
195,杜鹃科,小杜鹃
196,杜鹃科,栗斑杜鹃
197,杜鹃科,八声杜鹃
198,杜鹃科,翠金鹃
199,杜鹃科,紫金鹃
200,杜鹃科,乌鹃
201,杜鹃科,噪鹃
202,杜鹃科,绿嘴地鹃
203,鸦鹃科,褐翅鸦鹃
204,鸦鹃科,小鸦鹃
205,鹦鹉科,彩虹鹦鹉
206,鹦鹉科,小葵花凤头鹦鹉
207,鹦鹉科,短尾鹦鹉
208,鹦鹉科,红领绿鹦鹉
209,鹦鹉科,灰头鹦鹉
210,鹦鹉科,花头鹦鹉
211,鹦鹉科,大紫胸鹦鹉
212,鹦鹉科,绯胸鹦鹉
213,鹦鹉科,长尾鹦鹉
214,雨燕科,短嘴金丝燕
215,雨燕科,戈氏金丝燕
216,雨燕科,白喉针尾雨燕
217,雨燕科,灰喉针尾雨燕
218,雨燕科,棕雨燕
219,雨燕科,高山雨燕
220,雨燕科,普通楼燕
221,雨燕科,白腰雨燕
222,雨燕科,小白腰雨燕
223,树燕科,凤头树燕
224,草鸮科,仓鸮
225,草鸮科,草鸮
226,草鸮科,栗鸮
227,鸱鸮科,黄嘴角鸮
228,鸱鸮科,纵纹角鸮
229,鸱鸮科,红角鸮
230,鸱鸮科,东方角鸮
231,鸱鸮科,琉球角鸮
232,鸱鸮科,领角鸮
233,鸱鸮科,雕鸮
234,鸱鸮科,林雕鸮
235,鸱鸮科,乌雕鸮
236,鸱鸮科,毛腿渔鸮
237,鸱鸮科,褐渔鸮
238,鸱鸮科,黄脚渔鸮
239,鸱鸮科,雪鸮
240,鸱鸮科,褐林鸮
241,鸱鸮科,灰林鸮
242,鸱鸮科,长尾林鸮
243,鸱鸮科,四川林鸮
244,鸱鸮科,乌林鸮
245,鸱鸮科,猛鸮
246,鸱鸮科,花头鸺鹠
247,鸱鸮科,领鸺鹠
248,鸱鸮科,斑头鸺鹠
249,鸱鸮科,纵纹腹小鸮
250,鸱鸮科,横斑腹小鸮
251,鸱鸮科,鬼鸮
252,鸱鸮科,鹰鸮
253,鸱鸮科,长耳鸮
254,鸱鸮科,短耳鸮
255,蟆口鸱科,黑顶蟆口鸱
256,耳夜鹰科,毛腿耳夜鹰
257,夜鹰科,普通夜鹰
258,夜鹰科,欧夜鹰
259,夜鹰科,埃及夜鹰
260,夜鹰科,中亚夜鹰
261,夜鹰科,长尾夜鹰
262,夜鹰科,林夜鹰
263,鸠鸽科,原鸽
264,鸠鸽科,岩鸽
265,鸠鸽科,雪鸽
266,鸠鸽科,欧鸽
267,鸠鸽科,中亚鸽
268,鸠鸽科,斑尾林鸽
269,鸠鸽科,点斑林鸽
270,鸠鸽科,灰林鸽
271,鸠鸽科,紫林鸽
272,鸠鸽科,黑林鸽
273,鸠鸽科,欧斑鸠
274,鸠鸽科,山斑鸠
275,鸠鸽科,棕斑鸠
276,鸠鸽科,珠颈斑鸠
277,鸠鸽科,火斑鸠
278,鸠鸽科,灰斑鸠
279,鸠鸽科,斑尾鹃鸠
280,鸠鸽科,栗褐鹃鸠
281,鸠鸽科,棕头鹃鸠
282,鸠鸽科,绿翅金鸠
283,鸠鸽科,橙胸绿鸠
284,鸠鸽科,灰头绿鸠
285,鸠鸽科,厚嘴绿鸠
286,鸠鸽科,黄脚绿鸠
287,鸠鸽科,针尾绿鸠
288,鸠鸽科,楔尾绿鸠
289,鸠鸽科,红翅绿鸠
290,鸠鸽科,红顶绿鸠
291,鸠鸽科,黑颏果鸠
292,鸠鸽科,绿皇鸠
293,鸠鸽科,山皇鸠
294,鸨科,小鸨
295,鸨科,大鸨
296,鸨科,波斑鸨
297,鹤科,白鹤
298,鹤科,赤颈鹤
299,鹤科,白枕鹤
300,鹤科,沙丘鹤
301,鹤科,蓑羽鹤
302,鹤科,灰鹤
303,鹤科,白头鹤
304,鹤科,黑颈鹤
305,鹤科,丹顶鹤
306,秧鸡科,花田鸡
307,秧鸡科,红腿斑秧鸡
308,秧鸡科,白喉斑秧鸡
309,秧鸡科,蓝胸秧鸡
310,秧鸡科,普通秧鸡
311,秧鸡科,长脚秧鸡
312,秧鸡科,红脚苦恶鸟
313,秧鸡科,白胸苦恶鸟
314,秧鸡科,棕背田鸡
315,秧鸡科,姬田鸡
316,秧鸡科,小田鸡
317,秧鸡科,斑胸田鸡
318,秧鸡科,红胸田鸡
319,秧鸡科,斑胁田鸡
320,秧鸡科,白眉田鸡
321,秧鸡科,董鸡
322,秧鸡科,紫水鸡
323,秧鸡科,黑水鸡
324,秧鸡科,骨顶鸡
325,沙鸡科,西藏毛腿沙鸡
326,沙鸡科,毛腿沙鸡
327,沙鸡科,黑腹沙鸡
328,丘鹬科,丘鹬
329,丘鹬科,孤沙锥
330,丘鹬科,澳南沙锥
331,丘鹬科,林沙锥
332,丘鹬科,针尾沙锥
333,丘鹬科,大沙锥
334,丘鹬科,扇尾沙锥
335,丘鹬科,姬鹬
336,丘鹬科,黑尾塍鹬
